insee,nom
can01015,Oyonnax
can01016,Pont-d'Ain
can01017,Replonges
can01018,Saint-Etienne-du-Bois
can01019,Saint-Genis-Pouilly
can01020,Thoiry
can01021,Trévoux
can01022,Villars-les-Dombes
can01023,Vonnas
can02001,Bohain-en-Vermandois
can02002,Château-Thierry
can02003,Chauny
can02004,Essômes-sur-Marne
can02005,Fère-en-Tardenois
can02006,Guignicourt
can02007,Guise
can02008,Hirson
can02009,Laon-1
can02010,Laon-2
can02011,Marle
can02012,Ribemont
can02013,Saint-Quentin-1
can02014,Saint-Quentin-2
can02015,Saint-Quentin-3
can02016,Soissons-1
can02017,Soissons-2
can02018,Tergnier
can02019,Vervins
can02020,Vic-sur-Aisne
can02021,Villers-Cotterêts
can03001,Bellerive-sur-Allier
can03002,Bourbon-l'Archambault
can03003,Commentry
can03004,Cusset
can03005,Dompierre-sur-Besbre
can03006,Gannat
can03007,Huriel
can03008,Lapalisse
can03009,Montluçon-1
can03010,Montluçon-2
can03011,Montluçon-3
can03012,Montluçon-4
can03013,Moulins-1
can03014,Moulins-2
can03015,Saint-Pourçain-sur-Sioule
can03016,Souvigny
can03017,Vichy-1
can03018,Vichy-2
can03019,Yzeure
can04001,Barcelonnette
can04002,Castellane
can04003,Château-Arnoux-Saint-Auban
can04004,Digne-les-Bains-1
can04005,Digne-les-Bains-2
can04006,Forcalquier
can04007,Manosque-1
can04008,Manosque-2
can04009,Manosque-3
can04010,Oraison
can04011,Reillanne
can04012,Riez
can04013,Seyne
can04014,Sisteron
can04015,Valensole
can05001,L'Argentière-la-Bessée
can05002,Briançon-1
can05003,Briançon-2
can05004,Chorges
can05005,Embrun
can05006,Gap-1
can05007,Gap-2
can05008,Gap-3
can05009,Gap-4
can05010,Guillestre
can05011,Laragne-Montéglin
can05012,Saint-Bonnet-en-Champsaur
can05013,Serres
can05014,Tallard
can05015,Veynes
can06001,Antibes-1
can06002,Antibes-2
can06003,Antibes-3
can06004,Beausoleil
can06005,Cagnes-sur-Mer-1
can06006,Cagnes-sur-Mer-2
can06007,Cannes-1
can06008,Cannes-2
can06009,Le Cannet
can06010,Contes
can06011,Grasse-1
can06012,Grasse-2
can06013,Mandelieu-la-Napoule
can06014,Menton
can06015,Nice-1
can06016,Nice-2
can06017,Nice-3
can06018,Nice-4
can06019,Nice-5
can06020,Nice-6
can06021,Nice-7
can06022,Nice-8
can06023,Nice-9
can06024,Tourette-Levens
can06025,Valbonne
can06026,Vence
can06027,Villeneuve-Loubet
can07001,Annonay-1
can07002,Annonay-2
can07003,Aubenas-1
can07004,Aubenas-2
can07005,Bourg-Saint-Andéol
can07006,Le Cheylard
can07007,Guilherand-Granges
can07008,Lamastre
can07009,Le Pouzin
can07010,Privas
can07011,Sarras
can07012,Le Teil
can07013,Thueyts
can07014,Tournon-sur-Rhône
can07015,Vallon-Pont-d'Arc
can07016,Les Vans
can07017,La Voulte-sur-Rhône
can08001,Attigny
can08002,Bogny-sur-Meuse
can08003,Carignan
can08004,Charleville-Mézières-1
can08005,Charleville-Mézières-2
can08006,Charleville-Mézières-3
can08007,Charleville-Mézières-4
can08008,Château-Porcien
can08009,Givet
can08010,Nouvion-sur-Meuse
can08011,Rethel
can08012,Revin
can08013,Rocroi
can08014,Sedan-1
can08015,Sedan-2
can08016,Sedan-3
can08017,Signy-l'Abbaye
can08018,Villers-Semeuse
can08019,Vouziers
can09001,Haute-Ariège
can09002,Arize-Lèze
can09003,Couserans Est
can09004,Couserans Ouest
can09005,Foix
can09006,Mirepoix
can09007,Pamiers-1
can09008,Pamiers-2
can09009,Pays d'Olmes
can09010,Portes d'Ariège
can09011,Portes du Couserans
can09012,Sabarthès
can09013,Val d'Ariège
can10001,Aix-en-Othe
can10002,Arcis-sur-Aube
can10003,Bar-sur-Aube
can10004,Bar-sur-Seine
can10005,Brienne-le-Château
can10006,Creney-près-Troyes
can10007,Nogent-sur-Seine
can10008,Les Riceys
can10009,Romilly-sur-Seine
can10010,Saint-André-les-Vergers
can10011,Saint-Lyé
can10012,Troyes-1
can10013,Troyes-2
can10014,Troyes-3
can10015,Troyes-4
can10016,Troyes-5
can10017,Vendeuvre-sur-Barse
can11001,Bram
can11002,Carcassonne-1
can11003,Carcassonne-2
can11004,Carcassonne-3
can11005,Castelnaudary
can11006,Coursan
can11007,Fabrezan
can11008,Lézignan-Corbières
can11009,Limoux
can11010,Montréal
can11011,Narbonne-1
can11012,Narbonne-2
can11013,Narbonne-3
can11014,Quillan
can11015,Rieux-Minervois
can11016,Sallèles-d'Aude
can11017,Sigean
can11018,Trèbes
can11019,Villemoustaussou
can12001,Aubrac et Carladez
can12002,Aveyron et Tarn
can12003,Causse-Comtal
can12004,Causses-Rougiers
can12005,Ceor-Ségala
can12006,Enne et Alzou
can12007,Lot et Dourdou
can12008,Lot et Montbazinois
can12009,Lot et Palanges
can12010,Lot et Truyère
can12011,Millau-1
can12012,Millau-2
can12013,Monts du Réquistanais
can12014,Nord-Lévezou
can12015,Raspes et Lévezou
can12016,Rodez-1
can12017,Rodez-2
can12018,Rodez-Onet
can12019,Saint-Affrique
can12020,Tarn et Causses
can12021,Vallon
can12022,Villefranche-de-Rouergue
can12023,Villeneuvois et Villefranchois
can13001,Aix-en-Provence-1
can13002,Aix-en-Provence-2
can13003,Allauch
can13004,Arles
can13005,Aubagne
can13006,Berre-l'Etang
can13007,Châteaurenard
can13008,La Ciotat
can13009,Gardanne
can13010,Istres
can13011,Marignane
can13012,Marseille-1
can13013,Marseille-2
can13014,Marseille-3
can13015,Marseille-4
can13016,Marseille-5
can13017,Marseille-6
can13018,Marseille-7
can13019,Marseille-8
can13020,Marseille-9
can13021,Marseille-10
can13022,Marseille-11
can13023,Marseille-12
can13024,Martigues
can13025,Pélissanne
can13026,Salon-de-Provence-1
can13027,Salon-de-Provence-2
can13028,Trets
can13029,Vitrolles
can14001,Aunay-sur-Odon
can14002,Bayeux
can14003,Bretteville-l'Orgueilleuse
can14004,Cabourg
can14005,Caen-1
can14006,Caen-2
can14007,Caen-3
can14008,Caen-4
can14009,Caen-5
can14010,Condé-sur-Noireau
can14011,Courseulles-sur-Mer
can14012,Evrecy
can14013,Falaise
can14014,Hérouville-Saint-Clair
can14015,Honfleur-Deauville
can14016,Ifs
can14017,Lisieux
can14018,Livarot
can14019,Mézidon-Canon
can14020,Ouistreham
can14021,Pont-l'Evêque
can14022,Thury-Harcourt
can14023,Trévières
can14024,Troarn
can14025,Vire
can15001,Arpajon-sur-Cère
can15002,Aurillac-1
can15003,Aurillac-2
can15004,Aurillac-3
can15005,Mauriac
can15006,Maurs
can15007,Murat
can15008,Naucelles
can15009,Neuvéglise
can15010,Riom-ès-Montagnes
can15011,Saint-Flour-1
can15012,Saint-Flour-2
can15013,Saint-Paul-des-Landes
can15014,Vic-sur-Cère
can15015,Ydes
can16001,Angoulême-1
can16002,Angoulême-2
can16003,Angoulême-3
can16004,Boëme-Echelle
can16005,Boixe-et-Manslois
can16006,Charente-Bonnieure
can16007,Charente-Champagne
can16008,Charente-Nord
can16009,Charente-Sud
can16010,Charente-Vienne
can16011,Cognac-1
can16012,Cognac-2
can16013,La Couronne
can16014,Gond-Pontouvre
can16015,Jarnac
can16016,Touvre-et-Braconne
can16017,Tude-et-Lavalette
can16018,Val de Nouère
can16019,Val de Tardoire
can17001,Aytré
can17002,Chaniers
can17003,Châtelaillon-Plage
can17004,Ile d'Oléron
can17005,Ile de Ré
can17006,La Jarrie
can17007,Jonzac
can17008,Lagord
can17009,Marans
can17010,Marennes
can17011,Matha
can17012,Pons
can17013,Rochefort
can17014,La Rochelle-1
can17015,La Rochelle-2
can17016,La Rochelle-3
can17017,Royan
can17018,Saint-Jean-d'Angély
can17019,Saint-Porchaire
can17020,Saintes
can17021,Saintonge Estuaire
can17022,Saujon
can17023,Surgères
can17024,Thénac
can17025,Tonnay-Charente
can17026,La Tremblade
can17027,Les Trois Monts
can18001,Aubigny-sur-Nère
can18002,Avord
can18003,Bourges-1
can18004,Bourges-2
can18005,Bourges-3
can18006,Bourges-4
can18007,Chârost
can18008,Châteaumeillant
can18009,Dun-sur-Auron
can18010,La Guerche-sur-l'Aubois
can18011,Mehun-sur-Yèvre
can18012,Saint-Amand-Montrond
can18013,Saint-Doulchard
can18014,Saint-Germain-du-Puy
can18015,Saint-Martin-d'Auxigny
can18016,Sancerre
can18017,Trouy
can18018,Vierzon-1
can18019,Vierzon-2
can19001,Allassac
can19002,Argentat
can19003,Brive-la-Gaillarde-1
can19004,Brive-la-Gaillarde-2
can19005,Brive-la-Gaillarde-3
can19006,Brive-la-Gaillarde-4
can19007,Egletons
can19008,Haute-Dordogne
can19009,Malemort-sur-Corrèze
can19010,Midi Corrézien
can19011,Naves
can19012,Plateau de Millevaches
can19013,Saint-Pantaléon-de-Larche
can19014,Sainte-Fortunade
can19015,Seilhac-Monédières
can19016,Tulle
can19017,Ussel
can19018,Uzerche
can19019,L'Yssandonnais
can21001,Arnay-le-Duc
can21002,Auxonne
can21003,Beaune
can21004,Brazey-en-Plaine
can21005,Châtillon-sur-Seine
can21006,Chenôve
can21007,Chevigny-Saint-Sauveur
can21008,Dijon-1
can21009,Dijon-2
can21010,Dijon-3
can21011,Dijon-4
can21012,Dijon-5
can21013,Dijon-6
can21014,Fontaine-lès-Dijon
can21015,Genlis
can21016,Is-sur-Tille
can21017,Ladoix-Serrigny
can21018,Longvic
can21019,Montbard
can21020,Nuits-Saint-Georges
can21021,Saint-Apollinaire
can21022,Semur-en-Auxois
can21023,Talant
can22001,Bégard
can22002,Broons
can22003,Callac
can22004,Dinan
can22005,Guingamp
can22006,Lamballe
can22007,Lannion
can22008,Lanvallay
can22009,Loudéac
can22010,Mûr-de-Bretagne
can22011,Paimpol
can22012,Perros-Guirec
can22013,Plaintel
can22014,Plancoët
can22015,Plélo
can22016,Plénée-Jugon
can22017,Pléneuf-Val-André
can22018,Plérin
can22019,Pleslin-Trigavou
can22020,Plestin-les-Grèves
can22021,Ploufragan
can22022,Plouha
can22023,Rostrenen
can22024,Saint-Brieuc-1
can22025,Saint-Brieuc-2
can22026,Trégueux
can22027,Tréguier
can23001,Ahun
can23002,Aubusson
can23003,Auzances
can23004,Bonnat
can23005,Bourganeuf
can23006,Boussac
can23007,Dun-le-Palestel
can23008,Evaux-les-Bains
can23009,Felletin
can23010,Gouzon
can23011,Le Grand-Bourg
can23012,Guéret-1
can23013,Guéret-2
can23014,Saint-Vaury
can23015,La Souterraine
can24001,Bergerac-1
can24002,Bergerac-2
can24003,Brantôme
can24004,Coulounieix-Chamiers
can24005,Haut-Périgord Noir
can24006,Isle-Loue-Auvézère
can24007,Isle-Manoire
can24008,Lalinde
can24009,Montpon-Ménestérol
can24010,Pays de la Force
can24011,Pays de Montaigne et Gurson
can24012,Périgord Central
can24013,Périgord Vert Nontronnais
can24014,Périgueux-1
can24015,Périgueux-2
can24016,Ribérac
can24017,Saint-Astier
can24018,Sarlat-la-Canéda
can24019,Sud-Bergeracois
can24020,Terrasson-Lavilledieu
can24021,Thiviers
can24022,Trélissac
can24023,Vallée Dordogne
can24024,Vallée de l'Isle
can24025,Vallée de l'Homme
can25001,Audincourt
can25002,Baume-les-Dames
can25003,Bavans
can25004,Besançon-1
can25005,Besançon-2
can25006,Besançon-3
can25007,Besançon-4
can25008,Besançon-5
can25009,Besançon-6
can25010,Bethoncourt
can25011,Frasne
can25012,Maîche
can25013,Montbéliard
can25014,Morteau
can25015,Ornans
can25016,Pontarlier
can25017,Saint-Vit
can25018,Valdahon
can25019,Valentigney
can26001,Bourg-de-Péage
can26002,Crest
can26003,Dieulefit
can26004,Le Diois
can26005,Drôme des Collines
can26006,Grignan
can26007,Loriol-sur-Drôme
can26008,Montélimar-1
can26009,Montélimar-2
can26010,Nyons et Baronnies
can26011,Romans-sur-Isère
can26012,Saint-Vallier
can26013,Tain-l'Hermitage
can26014,Le Tricastin
can26015,Valence-1
can26016,Valence-2
can26017,Valence-3
can26018,Valence-4
can26019,Vercors-Monts du Matin
can27001,Les Andelys
can27002,Bernay
can27003,Beuzeville
can27004,Bourg-Achard
can27005,Bourgtheroulde-Infreville
can27006,Breteuil
can27007,Brionne
can27008,Conches-en-Ouche
can27009,Evreux-1
can27010,Evreux-2
can27011,Evreux-3
can27012,Gaillon
can27013,Gisors
can27014,Louviers
can27015,Le Neubourg
can27016,Pacy-sur-Eure
can27017,Pont-Audemer
can27018,Pont-de-l'Arche
can27019,Romilly-sur-Andelle
can27020,Saint-André-de-l'Eure
can27021,Val-de-Reuil
can27022,Verneuil-sur-Avre
can27023,Vernon
can28001,Anet
can28002,Auneau
can28003,Brou
can28004,Chartres-1
can28005,Chartres-2
can28006,Chartres-3
can28007,Châteaudun
can28008,Dreux-1
can28009,Dreux-2
can28010,Epernon
can28011,Illiers-Combray
can28012,Lucé
can28013,Nogent-le-Rotrou
can28014,Saint-Lubin-des-Joncherets
can28015,Voves
can29001,Brest-1
can29002,Brest-2
can29003,Brest-3
can29004,Brest-4
can29005,Brest-5
can29006,Briec
can29007,Carhaix-Plouguer
can29008,Concarneau
can29009,Crozon
can29010,Douarnenez
can29011,Fouesnant
can29012,Guipavas
can29013,Landerneau
can29014,Landivisiau
can29015,Lesneven
can29016,Moëlan-sur-Mer
can29017,Morlaix
can29018,Plabennec
can29019,Plonéour-Lanvern
can29020,Plouigneau
can29021,Pont-de-Buis-lès-Quimerch
can29022,Pont-l'Abbé
can29023,Quimper-1
can29024,Quimper-2
can29025,Quimperlé
can29026,Saint-Pol-de-Léon
can29027,Saint-Renan
can2A001,Ajaccio-1
can2A002,Ajaccio-2
can2A003,Ajaccio-3
can2A004,Ajaccio-4
can2A005,Ajaccio-5
can2A006,Bavella
can2A007,Grand Sud
can2A008,Gravona-Prunelli
can2A009,Sartenais-Valinco
can2A010,Sevi-Sorru-Cinarca
can2A011,Taravo-Ornano
can2B001,Bastia-1
can2B002,Bastia-2
can2B003,Bastia-3
can2B004,Bastia-4
can2B005,Biguglia-Nebbio
can2B006,Borgo
can2B007,Calvi
can2B008,Cap Corse
can2B009,Casinca-Fumalto
can2B010,Castagniccia
can2B011,Corte
can2B012,Fiumorbo-Castello
can2B013,Ghisonaccia
can2B014,Golo-Morosaglia
can2B015,L'Ile-Rousse
can30001,Aigues-Mortes
can30002,Alès-1
can30003,Alès-2
can30004,Alès-3
can30005,Bagnols-sur-Cèze
can30006,Beaucaire
can30007,Calvisson
can30008,La Grand-Combe
can30009,Marguerittes
can30010,Nîmes-1
can30011,Nîmes-2
can30012,Nîmes-3
can30013,Nîmes-4
can30014,Pont-Saint-Esprit
can30015,Quissac
can30016,Redessan
can30017,Roquemaure
can30018,Rousson
can30019,Saint-Gilles
can30020,Uzès
can30021,Vauvert
can30022,Le Vigan
can30023,Villeneuve-lès-Avignon
can31001,Auterive
can31002,Bagnères-de-Luchon
can31003,Blagnac
can31004,Castanet-Tolosan
can31005,Castelginest
can31006,Cazères
can31007,Escalquens
can31008,Léguevin
can31009,Muret
can31010,Pechbonnieu
can31011,Plaisance-du-Touch
can31012,Portet-sur-Garonne
can31013,Revel
can31014,Saint-Gaudens
can31015,Toulouse-1
can31016,Toulouse-2
can31017,Toulouse-3
can31018,Toulouse-4
can31019,Toulouse-5
can31020,Toulouse-6
can31021,Toulouse-7
can31022,Toulouse-8
can31023,Toulouse-9
can31024,Toulouse-10
can31025,Toulouse-11
can31026,Tournefeuille
can31027,Villemur-sur-Tarn
can32001,Adour-Gersoise
can32002,Armagnac-Ténarèze
can32003,Astarac-Gimone
can32004,Auch-1
can32005,Auch-2
can32006,Auch-3
can32007,Baïse-Armagnac
can32008,Fezensac
can32009,Fleurance-Lomagne
can32010,Gascogne-Auscitaine
can32011,Gimone-Arrats
can32012,Grand-Bas-Armagnac
can32013,L'Isle-Jourdain
can32014,Lectoure-Lomagne
can32015,Mirande-Astarac
can32016,Pardiac-Rivière-Basse
can32017,Val de Save
can33001,Andernos-les-Bains
can33002,Bordeaux-1
can33003,Bordeaux-2
can33004,Bordeaux-3
can33005,Bordeaux-4
can33006,Bordeaux-5
can33007,Le Bouscat
can33008,La Brède
can33009,Cenon
can33010,Les Coteaux de Dordogne
can33011,Créon
can33012,L'Entre-Deux-Mers
can33013,L'Estuaire
can33014,Gujan-Mestras
can33015,Les Landes des Graves
can33016,Le Libournais-Fronsadais
can33017,Lormont
can33018,Mérignac-1
can33019,Mérignac-2
can33020,Le Nord-Gironde
can33021,Le Nord-Libournais
can33022,Le Nord-Médoc
can33023,Pessac-1
can33024,Pessac-2
can33025,Les Portes du Médoc
can33026,La Presqu'Île
can33027,Le Réolais et Les Bastides
can33028,Saint-Médard-en-Jalles
can33029,Le Sud-Gironde
can33030,Le Sud-Médoc
can33031,Talence
can33032,La Teste-de-Buch
can33033,Villenave-d'Ornon
can34001,Agde
can34002,Béziers-1
can34003,Béziers-2
can34004,Béziers-3
can34005,Cazouls-lès-Béziers
can34006,Clermont-l'Hérault
can34007,Le Crès
can34008,Frontignan
can34009,Gignac
can34010,Lattes
can34011,Lodève
can34012,Lunel
can34013,Mauguio
can34014,Mèze
can34015,Montpellier-1
can34016,Montpellier-2
can34017,Montpellier-3
can34018,Montpellier-4
can34019,Montpellier-5
can34020,Montpellier - Castelnau-le-Lez
can34021,Pézenas
can34022,Pignan
can34023,Saint-Gély-du-Fesc
can34024,Saint-Pons-de-Thomières
can34025,Sète
can35001,Antrain
can35002,Bain-de-Bretagne
can35003,Betton
can35004,Bruz
can35005,Châteaugiron
can35006,Combourg
can35007,Dol-de-Bretagne
can35008,Fougères-1
can35009,Fougères-2
can35010,La Guerche-de-Bretagne
can35011,Guichen
can35012,Janzé
can35013,Liffré
can35014,Melesse
can35015,Montauban-de-Bretagne
can35016,Montfort-sur-Meu
can35017,Redon
can35018,Rennes-1
can35019,Rennes-2
can35020,Rennes-3
can35021,Rennes-4
can35022,Rennes-5
can35023,Rennes-6
can35024,Le Rheu
can35025,Saint-Malo-1
can35026,Saint-Malo-2
can35027,Vitré
can36001,Ardentes
can36002,Argenton-sur-Creuse
can36003,Le Blanc
can36004,Buzançais
can36005,Châteauroux-1
can36006,Châteauroux-2
can36007,Châteauroux-3
can36008,La Châtre
can36009,Issoudun
can36010,Levroux
can36011,Neuvy-Saint-Sépulchre
can36012,Saint-Gaultier
can36013,Valençay
can37001,Amboise
can37002,Ballan-Miré
can37003,Bléré
can37004,Château-Renault
can37005,Chinon
can37006,Descartes
can37007,Joué-lès-Tours
can37008,Langeais
can37009,Loches
can37010,Montlouis-sur-Loire
can37011,Monts
can37012,Saint-Cyr-sur-Loire
can37013,Sainte-Maure-de-Touraine
can37014,Saint-Pierre-des-Corps
can37015,Tours-1
can37016,Tours-2
can37017,Tours-3
can37018,Tours-4
can37019,Vouvray
can38001,Bièvre
can38002,Bourgoin-Jallieu
can38003,Chartreuse-Guiers
can38004,Charvieu-Chavagneux
can38005,Echirolles
can38006,Fontaine-Seyssinet
can38007,Fontaine-Vercors
can38008,Le Grand-Lemps
can38009,Grenoble-1
can38010,Grenoble-2
can38011,Grenoble-3
can38012,Grenoble-4
can38013,Le Haut-Grésivaudan
can38014,L'Isle-d'Abeau
can38015,Matheysine-Trièves
can38016,Meylan
can38017,Morestel
can38018,Le Moyen Grésivaudan
can38019,Oisans-Romanche
can38020,Le Pont-de-Claix
can38021,Roussillon
can38022,Saint-Martin-d'Hères
can38023,Le Sud Grésivaudan
can38024,La Tour-du-Pin
can38025,Tullins
can38026,La Verpillière
can38027,Vienne-1
can38028,Vienne-2
can38029,Voiron
can39001,Arbois
can39002,Authume
can39003,Bletterans
can39004,Champagnole
can39005,Dole-1
can39006,Dole-2
can39007,Lons-le-Saunier-1
can39008,Lons-le-Saunier-2
can39009,Moirans-en-Montagne
can39010,Mont-sous-Vaudrey
can39011,Morez
can39012,Poligny
can39013,Saint-Amour
can39014,Saint-Claude
can39015,Saint-Laurent-en-Grandvaux
can39016,Saint-Lupicin
can39017,Tavaux
can40001,Adour Armagnac
can40002,Chalosse Tursan
can40003,Côte d'Argent
can40004,Coteau de Chalosse
can40005,Dax-1
can40006,Dax-2
can40007,Grands Lacs
can40008,Haute Lande Armagnac
can40009,Marensin Sud
can40010,Mont-de-Marsan-1
can40011,Mont-de-Marsan-2
can40012,Orthe et Arrigans
can40013,Pays Morcenais Tarusate
can40014,Pays Tyrossais
can40015,Seignanx
can41001,La Beauce
can41002,Blois-1
can41003,Blois-2
can41004,Blois-3
can41005,Chambord
can41006,Montoire-sur-le-Loir
can41007,Montrichard
can41008,Onzain
can41009,Le Perche
can41010,Romorantin-Lanthenay
can41011,Saint-Aignan
can41012,Selles-sur-Cher
can41013,La Sologne
can41014,Vendôme
can41015,Vineuil
can42001,Andrézieux-Bouthéon
can42002,Boën-sur-Lignon
can42003,Charlieu
can42004,Le Coteau
can42005,Feurs
can42006,Firminy
can42007,Montbrison
can42008,Le Pilat
can42009,Renaison
can42010,Rive-de-Gier
can42011,Roanne-1
can42012,Roanne-2
can42013,Saint-Chamond
can42014,Saint-Etienne-1
can42015,Saint-Etienne-2
can42016,Saint-Etienne-3
can42017,Saint-Etienne-4
can42018,Saint-Etienne-5
can42019,Saint-Etienne-6
can42020,Saint-Just-Saint-Rambert
can42021,Sorbiers
can43001,Aurec-sur-Loire
can43002,Bas-en-Basset
can43003,Boutières
can43004,Brioude
can43005,Deux Rivières et Vallées
can43006,Emblavez-et-Meygal
can43007,Gorges de l'Allier-Gévaudan
can43008,Mézenc
can43009,Monistrol-sur-Loire
can43010,Pays de Lafayette
can43011,Plateau du Haut-Velay Granitique
can43012,Le Puy-en-Velay-1
can43013,Le Puy-en-Velay-2
can43014,Le Puy-en-Velay-3
can43015,Le Puy-en-Velay-4
can43016,Saint-Paulien
can43017,Sainte-Florine
can43018,Velay Volcanique
can43019,Yssingeaux
can44001,Ancenis
can44002,La Baule-Escoublac
can44003,Blain
can44004,Carquefou
can44005,La Chapelle-sur-Erdre
can44006,Châteaubriant
can44007,Clisson
can44008,Guémené-Penfao
can44009,Guérande
can44010,Machecoul
can44011,Nantes-1
can44012,Nantes-2
can44013,Nantes-3
can44014,Nantes-4
can44015,Nantes-5
can44016,Nantes-6
can44017,Nantes-7
can44018,Nort-sur-Erdre
can44019,Pontchâteau
can44020,Pornic
can44021,Rezé-1
can44022,Rezé-2
can44023,Saint-Brevin-les-Pins
can44024,Saint-Herblain-1
can44025,Saint-Herblain-2
can44026,Saint-Nazaire-1
can44027,Saint-Nazaire-2
can44028,Saint-Philbert-de-Grand-Lieu
can44029,Saint-Sébastien-sur-Loire
can44030,Vallet
can44031,Vertou
can45001,Beaugency
can45002,Châlette-sur-Loing
can45003,Châteauneuf-sur-Loire
can45004,Courtenay
can45005,La Ferté-Saint-Aubin
can45006,Fleury-les-Aubrais
can45007,Gien
can45008,Lorris
can45009,Malesherbes
can45010,Meung-sur-Loire
can45011,Montargis
can45012,Olivet
can45013,Orléans-1
can45014,Orléans-2
can45015,Orléans-3
can45016,Orléans-4
can45017,Pithiviers
can45018,Saint-Jean-de-Braye
can45019,Saint-Jean-de-la-Ruelle
can45020,Saint-Jean-le-Blanc
can45021,Sully-sur-Loire
can46001,Cahors-1
can46002,Cahors-2
can46003,Cahors-3
can46004,Causse et Bouriane
can46005,Causse et Vallées
can46006,Cère et Ségala
can46007,Figeac-1
can46008,Figeac-2
can46009,Gourdon
can46010,Gramat
can46011,Lacapelle-Marival
can46012,Luzech
can46013,Marches du Sud-Quercy
can46014,Martel
can46015,Puy-l'Evêque
can46016,Saint-Céré
can46017,Souillac
can47001,Agen-1
can47002,Agen-2
can47003,Agen-3
can47004,Agen-4
can47005,L'Albret
can47006,Le Confluent
can47007,Les Coteaux de Guyenne
can47008,Les Forêts de Gascogne
can47009,Le Fumélois
can47010,Le Haut Agenais Périgord
can47011,Lavardac
can47012,Le Livradais
can47013,Marmande-1
can47014,Marmande-2
can47015,L'Ouest agenais
can47016,Le Pays de Serres
can47017,Le Sud-Est agenais
can47018,Tonneins
can47019,Le Val du Dropt
can47020,Villeneuve-sur-Lot-1
can47021,Villeneuve-sur-Lot-2
can48001,Aumont-Aubrac
can48002,La Canourgue
can48003,Chirac
can48004,Le Collet-de-Dèze
can48005,Florac
can48006,Grandrieu
can48007,Langogne
can48008,Marvejols
can48009,Mende-1
can48010,Mende-2
can48011,Saint-Alban-sur-Limagnole
can48012,Saint-Chély-d'Apcher
can48013,Saint-Etienne-du-Valdonnez
can49001,Angers-1
can49002,Angers-2
can49003,Angers-3
can49004,Angers-4
can49005,Angers-5
can49006,Angers-6
can49007,Angers-7
can49008,Beaufort-en-Vallée
can49009,Beaupréau
can49010,Chalonnes-sur-Loire
can49011,Chemillé-Melay
can49012,Cholet-1
can49013,Cholet-2
can49014,Doué-la-Fontaine
can49015,Longué-Jumelles
can49016,La Pommeraye
can49017,Les Ponts-de-Cé
